Model,n_seeds,params_M,AUC mean,AUC std,NDCG@10 mean,NDCG@10 std,MRR mean,MRR std,P@10 mean,P@10 std,Tag Cov mean,Tag Cov std
NCF,5,0.143041,0.78888,0.0027243347811897302,0.15022000000000002,0.003089012787283347,0.17787999999999998,0.004423460184064052,0.07116,0.001757270610919106,0.321,0.011214945385511257
SAINT,5,4.454032,0.95588,0.002820815484926296,0.54518,0.0024953957601951777,0.59832,0.0025153528579505507,0.22694,0.0005224940191045312,0.74678,0.040266387968130465
AKT,5,3.441529,0.9631000000000001,0.0012247448713916015,0.5464399999999999,0.009679772724604616,0.60012,0.008068890877933586,0.2271,0.0031080540535840155,0.7793599999999999,0.027810393740470497
SimpleKT,5,3.440024,0.9571200000000001,0.0013367871932360577,0.5638200000000001,0.003606521870168003,0.6167800000000001,0.004371727347399437,0.23328,0.001357203006185888,0.8176,0.03800657837795979
DTransformer,5,3.774712,0.9639599999999999,0.0013277801022759544,0.55888,0.008405771826548702,0.61238,0.008081584003151877,0.23228,0.0030962881002904088,0.7517999999999999,0.03473953079706172
SASRec,5,0.600952,0.9609399999999999,0.003347088286854703,0.54348,0.010236063696558361,0.6021000000000001,0.008305720919944292,0.22572,0.0037372449745768635,0.6232800000000001,0.018965415893146143
MARS (Full),5,2.84,0.9235,0.0052,0.6828,0.0234,0.8929,0.0291,0.6399,0.0198,0.7357,0.0244
