model,n_params,val_auc_mean,val_auc_std,test_auc_mean,test_auc_std,ndcg10_mean,ndcg10_std,mrr_mean,mrr_std,p10_mean,p10_std,tagcov_mean,tagcov_std,n_seeds
AKT,3441835,0.9475199999999999,0.0034938517427045763,0.9631000000000001,0.0012247448713916002,0.5464399999999999,0.009679772724604617,0.60012,0.008068890877933577,0.2271,0.003108054053584019,0.7793599999999999,0.027810393740470493,5
SAINT,4454321,0.9393800000000001,0.006263944444198068,0.95588,0.0028208154849263174,0.54518,0.002495395760195171,0.59832,0.0025153528579504956,0.22694,0.0005224940191045237,0.74678,0.04026638796813046,5
SimpleKT,3440328,0.938,0.002409356760631309,0.95712,0.0013367871932360455,0.56382,0.0036065218701680155,0.61678,0.004371727347399432,0.23328,0.0013572030061858944,0.8176,0.03800657837795983,5
